🔍 Fetching applications without department mapping...

�� Summary:
Total Applications without Department: 548
Total VMs in Unknown Department: 5860

====================================================================================================
Application                                        VMs        Kritikalitas
162. Cloudera Services                                 4   Very High
163. Pinang                                            4   Unspecified
164. Corona                                            4   CRA, Unspecified
165. SHIELD (Incident & Problem Management)            4   Medium
166. WSUS                                              4   Low
167. Hasura                                            4   High
168. Ezio CAS (Confirm Authentication Server)          4   High
169. Nominal                                           4   Low
170. LDAP Master BRI                                   4   CRA
171. D-Nets                                            4   Very High
172. BRIStars : JARVIS                                 4   Low
173. SWIFT Alliance Access BRITL                       4   Medium
174. SMS Controller                                    4   Unspecified
175. Qlik Replicate                                    4   Critical
176. Merak                                             4   Unspecified
177. SCV (Single Customer View) Client                 4   Medium
178. TADOR (Tax Document Centre)                       4   Low
179. Kriteria Penilaian Kinerja Unggul (KPKU) Kementeri     4   Unspecified
180. ePPT & Tarra H2H                                  4   Unspecified
181. Uniform                                           4   CRA
182. NMS UPS                                           4   Low
183. Dashboard BRI Timor Leste                         4   Unspecified
184. BRIStars: Audio Video Gallery                     4   Low
185. Grafana                                           4   High
186. BRCS                                              3   Unspecified
187. RP4VM (Automation DRM)                            3   High
188. FTP Report Online                                 3   Low
189. BRISTORE                                          3   Medium
190. Activation License Server                         3   CRA
191. IBM AIOps                                         3   Unspecified
192. Critical Report                                   3   Unspecified
193. Report ACRS & ASRS                                3   Unspecified
194. Poller                                            3   CRA
195. Sistem Wali Amanat                                3   High
196. Sandbox                                           3   High
197. QCA                                               3   Unspecified
198. CS Digital                                        3   CRA
199. ATS                                               3   Unspecified
200. Data Destruction                                  3   High
201. Search Head                                       3   CRA, Unspecified
202. Portal WSA                                        3   Low
203. BRICS BRIGUNA & KPP                               3   Medium
204. SIEM                                              3   Very High
205. Sistem Perhitungan ATMR Risiko Pasar (FRTB)       3   Unspecified
206. Rundeck                                           3   CRA
207. DeBris (Dynamic Enhancement BRisat Information System)     3   Low
208. ManageEngine AD Audit Plus                        3   Low
209. CDC Attunity                                      3   Unspecified
210. BRIQueue                                          3   Low
211. Moni Manager                                      3   Low
212. SIMBOL                                            3   High
213. Planning Analytic (E-RKAP)                        3   Unspecified
214. Server Tim QCA                                    3   Unspecified
215. DDOnline Rekening Koran                           3   Unspecified
216. Laporan BI                                        3   CRA
217. RCM (Replacement Card Machine)                    3   Unspecified
218. Portal OPT                                        3   Critical
219. Self Deposit Box                                  3   Unspecified
