"SEVATools",8,"CRA","Unknown Department"
"E-Filling Management",8,"Unspecified","Unknown Department"
"Digital EA (Digital Enterprise Architecture)",8,"Low","Unknown Department"
"MRM Tools",8,"Unspecified","Unknown Department"
"KSEI Payment Bank",8,"CRA","Unknown Department"
"BRINeTask",8,"CRA","Unknown Department"
"NTP Server",8,"Medium","Unknown Department"
"Kibana",7,"Medium","Unknown Department"
"Moogsoft",7,"Medium","Unknown Department"
"Galera Cluster Control",7,"Low","Unknown Department"
"PGD Data",7,"Critical; Unspecified","Unknown Department"
"Jira",7,"Medium","Unknown Department"
"Brilian News",6,"Low","Unknown Department"
"Firewall Management",6,"Critical","Unknown Department"
"Password Management",6,"Critical","Unknown Department"
"SSL Automation",6,"Very High","Unknown Department"
"CHM Support",6,"CRA","Unknown Department"
"QMS (Queuing Management System)",6,"Unspecified","Unknown Department"
"Remote Agen",6,"CRA","Unknown Department"
"Vulnerability Assessment",6,"Critical","Unknown Department"
"Redis Enterprise",6,"CRA","Unknown Department"
"Micro Focus Fortify",6,"CRA","Unknown Department"
"Notebook Ownership Program",6,"CRA; Unspecified","Unknown Department"
"Briafis",5,"Medium","Unknown Department"
"WS User",5,"Unspecified; CRA","Unknown Department"
"Brilian Calendar",5,"Unspecified","Unknown Department"
"IRE",5,"Unspecified","Unknown Department"
"Scan Engine Vulnerability Management",5,"CRA","Unknown Department"
"BRI e-Calendar",5,"Unspecified","Unknown Department"
"Proxy Pekerja",5,"Low","Unknown Department"
"Portal MDO",5,"Unspecified; CRA","Unknown Department"
"Simonpots",5,"Critical","Unknown Department"
"Prometheus",5,"High","Unknown Department"
"ADLM CICD Tool",5,"Critical","Unknown Department"
"PRTG",5,"Critical","Unknown Department"
"Graph Studio Platform",5,"Medium","Unknown Department"
"Mass TOB (Transfer of Branch)",5,"Medium","Unknown Department"
"Jumphost DBA",5,"CRA","Unknown Department"
"Dynatrace",5,"Low","Unknown Department"
"Engine OTP",5,"CRA; Unspecified","Unknown Department"
"SonarQube",5,"Low","Unknown Department"
"EazyBI",5,"Low","Unknown Department"
"BOOST",4,"Unspecified","Unknown Department"
"SolarWinds",4,"Medium","Unknown Department"
"Aria",4,"Unspecified","Unknown Department"
"SSPP (Self Service Passbook Printing)",4,"CRA","Unknown Department"
"ADDONS",4,"CRA","Unknown Department"
"JIRA",4,"Medium","Unknown Department"
"Management License Cisco",4,"CRA","Unknown Department"
"PMO Watch Tower",4,"Low","Unknown Department"
"Cloudera Services",4,"Very High","Unknown Department"
"Pinang",4,"Unspecified","Unknown Department"
"Corona",4,"CRA; Unspecified","Unknown Department"
"SHIELD (Incident & Problem Management)",4,"Medium","Unknown Department"
"WSUS",4,"Low","Unknown Department"
"Hasura",4,"High","Unknown Department"
"Ezio CAS (Confirm Authentication Server)",4,"High","Unknown Department"
"Nominal",4,"Low","Unknown Department"
"LDAP Master BRI",4,"CRA","Unknown Department"
"D-Nets",4,"Very High","Unknown Department"
"BRIStars : JARVIS",4,"Low","Unknown Department"
"SWIFT Alliance Access BRITL",4,"Medium","Unknown Department"
"SMS Controller",4,"Unspecified","Unknown Department"
"Qlik Replicate",4,"Critical","Unknown Department"
"Merak",4,"Unspecified","Unknown Department"
"SCV (Single Customer View) Client",4,"Medium","Unknown Department"
"TADOR (Tax Document Centre)",4,"Low","Unknown Department"
"Kriteria Penilaian Kinerja Unggul (KPKU) Kementeri",4,"Unspecified","Unknown Department"
"ePPT & Tarra H2H",4,"Unspecified","Unknown Department"
"Uniform",4,"CRA","Unknown Department"
"NMS UPS",4,"Low","Unknown Department"
"Dashboard BRI Timor Leste",4,"Unspecified","Unknown Department"
"BRIStars: Audio Video Gallery",4,"Low","Unknown Department"
"Grafana",4,"High","Unknown Department"
"BRCS",3,"Unspecified","Unknown Department"
"RP4VM (Automation DRM)",3,"High","Unknown Department"
"FTP Report Online",3,"Low","Unknown Department"
"BRISTORE",3,"Medium","Unknown Department"
"Activation License Server",3,"CRA","Unknown Department"
"IBM AIOps",3,"Unspecified","Unknown Department"
"Critical Report",3,"Unspecified","Unknown Department"
"Report ACRS & ASRS",3,"Unspecified","Unknown Department"
"Poller",3,"CRA","Unknown Department"
"Sistem Wali Amanat",3,"High","Unknown Department"
"Sandbox",3,"High","Unknown Department"
"QCA",3,"Unspecified","Unknown Department"
"CS Digital",3,"CRA","Unknown Department"
"ATS",3,"Unspecified","Unknown Department"
"Data Destruction",3,"High","Unknown Department"
"Search Head",3,"CRA; Unspecified","Unknown Department"
"Portal WSA",3,"Low","Unknown Department"
"BRICS BRIGUNA & KPP",3,"Medium","Unknown Department"
"SIEM",3,"Very High","Unknown Department"
"Sistem Perhitungan ATMR Risiko Pasar (FRTB)",3,"Unspecified","Unknown Department"
"Rundeck",3,"CRA","Unknown Department"
"DeBris (Dynamic Enhancement BRisat Information System)",3,"Low","Unknown Department"
"ManageEngine AD Audit Plus",3,"Low","Unknown Department"
"CDC Attunity",3,"Unspecified","Unknown Department"
"BRIQueue",3,"Low","Unknown Department"
"Moni Manager",3,"Low","Unknown Department"
"SIMBOL",3,"High","Unknown Department"
"Planning Analytic (E-RKAP)",3,"Unspecified","Unknown Department"
"Server Tim QCA",3,"Unspecified","Unknown Department"
"DDOnline Rekening Koran",3,"Unspecified","Unknown Department"
"Laporan BI",3,"CRA","Unknown Department"
"RCM (Replacement Card Machine)",3,"Unspecified","Unknown Department"
"Portal OPT",3,"Critical","Unknown Department"
"Self Deposit Box",3,"Unspecified","Unknown Department"
"Dashboard MIS TRB",3,"Unspecified","Unknown Department"
"SANNAV",3,"Unspecified","Unknown Department"
"MPN Gen 3",3,"Very High","Unknown Department"
"Replacement Card Machine",3,"Unspecified","Unknown Department"
"SSRS",3,"Unspecified","Unknown Department"
"NEO (Network Access Operation)",3,"Unspecified","Unknown Department"
"Portal Absensi",3,"Low","Unknown Department"
"Cabin Crew",3,"Unspecified","Unknown Department"
"Redis Sentinel",3,"CRA","Unknown Department"
"Regulatory Report",3,"CRA; Critical","Unknown Department"
"SME Lending",3,"Unspecified","Unknown Department"
"Cloud DNS",3,"High","Unknown Department"
"RemmoteAgen Bamboo",3,"Unspecified","Unknown Department"
"Zoomus",3,"CRA","Unknown Department"
"Dataiku",3,"Critical","Unknown Department"
"TiKV Cluster",3,"Unspecified","Unknown Department"
"CIPS",3,"Unspecified","Unknown Department"
"BRIDONE",3,"Unspecified","Unknown Department"
"DAST (Dynamic Application Security Testing)",3,"Critical","Unknown Department"
"Bank Raya",3,"Unspecified","Unknown Department"
"Secure Structured Layer Automation (SSL Automation)",3,"Critical","Unknown Department"
"BRISIPD",3,"Unspecified","Unknown Department"
"CAPPS",2,"Unspecified","Unknown Department"
"ArcGIS Enterprise",2,"CRA","Unknown Department"
"Shadow",2,"CRA","Unknown Department"
"Partner Management",2,"Unspecified","Unknown Department"
"Dashboard Account Planning (Dashboard Korporasi & Menengah)",2,"Low","Unknown Department"
"Container Security",2,"Critical","Unknown Department"
"Asuransi Uang Online",2,"Unspecified","Unknown Department"
"APM",2,"CRA","Unknown Department"
"Antasena",2,"Unspecified","Unknown Department"
"MCRLN ETL - Subsidi Stimulus Pinjaman KUR",2,"Unspecified","Unknown Department"
"Tufin (Secure Change)",2,"CRA","Unknown Department"
"Tbank",2,"CRA","Unknown Department"
"Portal DAO",2,"Unspecified","Unknown Department"
"BRIStars: E-Patching",2,"Low","Unknown Department"
"Rekon Quorum",2,"Unspecified","Unknown Department"
"Message Processor Apigee",2,"Unspecified","Unknown Department"
"Predictive Budgeting",2,"Unspecified","Unknown Department"
"Portal ICG (Integrated Corporate Governance)",2,"Low","Unknown Department"
"Teller Cash Recycle",2,"Unspecified","Unknown Department"
"BRION",2,"Unspecified","Unknown Department"
"Portal Patching SDK",2,"Unspecified","Unknown Department"
"Reporting RCO",2,"Unspecified","Unknown Department"
"Portal OSD",2,"CRA","Unknown Department"
"IRBB",2,"Unspecified","Unknown Department"
"IBM License Metric Tools",2,"Low","Unknown Department"
"Database MySQL (DBA)",2,"Unspecified","Unknown Department"
"Server Pool DBT-DBHA",2,"Unspecified","Unknown Department"
